C535610	cutis verticis gyrata
C535700	mesenchymal tumors
C535700	malignant mesenchymal tumors
C535700	Malignant Mesenchymal Tumor
C536214	muscle contractions
C538178	acrodermatitis enteropathica
C540770	mitochondrial cytopathy
C562477	halothane hepatitis
C562694	idiopathic epilepsy
C562729	squamous cell esophageal carcinoma
C562729	esophageal squamous cell carcinoma
C566236	chorioretinal atrophy
C580162	sensory loss
D000013	congenital anomalies
D000014	birth defects
D000014	birth defect
D000014	Birth Defects
D000138	acidosis
D000138	metabolic acidosis
D000152	acne
D000160	adverse effect on the proximal eighth nerve
D000163	AIDS
D000172	acromegaly
D000172	acromegalic
D000172	Acromegaly
D000230	adenocarcinoma of the liver
D000230	adenocarcinoma
D000230	prostatic adenocarcinoma
D000236	adenoma
D000379	agoraphobia
D000380	agranulocytosis
D000380	granulocytopenia
D000380	Agranulocytosis
D000402	airway obstruction
D000419	albuminuria
D000435	acute alcohol intoxication
D000505	Alopecia
D000505	alopecia
D000544	Alzheimer's disease
D000568	amenorrhea
D000608	aminoaciduria
D000647	Amnesia
D000647	amnesia
D000647	amnesic
D000707	anaphylaxis
D000707	Anaphylaxis
D000740	anemia
D000741	aplastic anaemia
D000741	aplastic anemia
D000743	MAHA
D000743	Hemolytic anemia
D000743	microangiopathic hemolytic anemia
D000743	Microangiopathic hemolytic anemia
D000743	haemolytic anaemia
D000743	hemolytic anemia
D000744	autoimmune hemolytic anemia
D000757	Anencephaly
D000757	anencephaly
D000783	aneurysm
D000783	aneurysms
D000787	Angina
D000787	angina pectoris
D000788	variant angina
D000789	unstable angina
D000799	Angioedema
D000799	angioedema
D000799	angioneurotic edema
D000853	anophthalmia
D000855	anorexia
D000860	hypoxaemia
D000860	hypoxia
D000860	hypoxemia
D001002	anuria
D001008	anxiety
D001008	anxiety neurosis
D001017	coarctation of the aorta
D001018	angiopathy
D001022	aortic regurgitation
D001049	apnoea
D001049	apnea
D001049	desaturation
D001068	Eating disorders
D001068	eating disorders
D001068	decreased appetite
D001145	cardiac dysrhythmias
D001145	cardiac arrhythmia
D001145	cardiac arrhythmias
D001145	arrhythmia
D001145	Cardiac arrhythmias
D001145	ventricular arrhythmias
D001145	arrhythmias
D001165	arteriovenous malformations
D001168	arthritis
D001171	juvenile rheumatoid arthritis
D001172	rheumatoid arthritis
D001176	arthrogryposis
D001201	ascites
D001254	astrocytomas
D001259	clumsiness
D001259	ataxia
D001259	ataxic movements
D001281	atrial fibrillation
D001281	Atrial Fibrillation
D001281	Atrial fibrillation
D001282	atrial flutter
D001284	atrophy
D001289	attention-deficit/hyperactivity disorder
D001289	ADHD
D001321	autism
D001321	Autism
D001327	autoimmunity
D001480	decreased basal ganglia perfusion
D001480	extrapyramidal concomitant symptoms
D001480	EPS
D001480	Withdrawal-emergent rabbit syndrome
D001480	Extrapyramidal symptoms
D001480	injury in the cortex
D001480	rabbit syndrome
D001480	axonal injury
D001480	extrapyramidal signs
D001480	extrapyramidal symptoms
D001480	axonal damage
D001480	withdrawal-emergent RS
D001480	Rabbit syndrome
D001480	RS
D001523	psychiatric disorders
D001523	behavioral abnormalities
D001523	neurological and psychiatric disorders
